fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id,Acid_Ratio,Sulfur_Ratio,Sugar_Alcohol_Ratio,Total_Acidity,pH_Category,Alcohol_Sulphates_Interaction
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0,0.09459459459459459,0.3235294117647059,0.20212765957446807,8.1,Moderate,5.264000000000001
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,1,0.11282051282051282,0.373134328358209,0.2653061224489796,8.68,Low,6.664000000000001
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,2,0.09743589743589744,0.2777777777777778,0.23469387755102036,8.6,Low,6.370000000000001
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,3,0.025000000000000005,0.2833333333333333,0.19387755102040813,12.04,Low,5.684
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,4,0.09459459459459459,0.3235294117647059,0.20212765957446807,8.1,Moderate,5.264000000000001
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,5,0.0891891891891892,0.325,0.19148936170212766,8.06,Moderate,5.264000000000001
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,6,0.07594936708860758,0.2542372881355932,0.1702127659574468,8.56,Low,4.324000000000001
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,7,0.08904109589041097,0.7142857142857143,0.12,7.95,Low,4.699999999999999
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,8,0.07435897435897436,0.5,0.21052631578947367,8.399999999999999,Low,5.414999999999999
6.7,0.58,0.08,1.8,0.0969999999999999,15.0,65.0,0.9959,3.28,0.54,9.2,5,10,0.08656716417910447,0.23076923076923078,0.1956521739130435,7.36,Low,4.968
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,12,0.10982142857142858,0.2711864406779661,0.16161616161616163,6.215,Moderate,5.148000000000001
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,13,0.0782051282051282,0.3103448275862069,0.17582417582417584,8.7,Low,14.196
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,16,0.03294117647058824,0.33980582524271846,0.17142857142857143,9.34,Low,7.875
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,19,0.04050632911392405,0.30357142857142855,0.1956521739130435,8.73,Low,9.936
7.6,0.39,0.31,2.3,0.0819999999999999,23.0,71.0,0.9982,3.52,0.65,9.7,5,21,0.05131578947368422,0.323943661971831,0.23711340206185566,8.299999999999999,Moderate,6.305
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,22,0.05443037974683544,0.2702702702702703,0.16842105263157894,8.540000000000001,Low,8.645
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,23,0.05764705882352941,0.13432835820895522,0.24468085106382975,9.1,Low,4.982
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,24,0.057971014492753624,0.525,0.24742268041237114,7.44,Moderate,6.111
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,25,0.06190476190476191,0.4782608695652174,0.15053763440860213,6.85,Low,5.208000000000001
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,26,0.05394736842105263,0.36363636363636365,0.18947368421052632,8.25,Low,5.6049999999999995
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,28,0.1,0.4,0.20212765957446807,7.81,Moderate,5.170000000000001
